address,bathrooms,bedrooms,price_from,distance_to_ucsb_miles
"6640 Pasado Rd, Goleta, CA 93117, United States",2 Bath,3 Bed,5600,1.2
"6873 Fortuna Rd Goleta, CA 93117",1 Bath,1 Bed,1100,1.6
"6773 Estero Rd Goleta, CA 93117",2 - 3 Bath,5 Bed,12500,1.6
"6555 Segovia Rd Goleta, CA 93117",3.5 Bath,7 Bed,16800,0.8
"280 Royal Linda Dr, Goleta, CA 93117, United States",1 Bath,1 Bed,1500,3.8
"759 Embarcadero del Mar Isla Vista, CA 93117",1 Bath,1 Bed,1150,0.7
"6531 Sabado Tarde Rd, Isla Vista, CA 93117, United States",2 Bath,2 Bed,5400,1.1
"6896 Willowgrove Dr Goleta, CA 93117",1 Bath,1 Bed,1600,1.5
"6719 Sabado Tarde Rd Isla Vista, CA 93117",1 Bath,1 Bed,0,1.4
"777 Camino Pescadero Isla Vista, CA 93117",1 Bath,1 Bed,876,0.8
"6503 Madrid Rd Isla Vista, CA 93117",1 Bath,S - 2 Bed,0,0.9
"6740 Pasado Rd Goleta, CA 93117",2 Bath,2 Bed,4995,1.4
"6612 Sueno Rd Goleta, CA 93117",1 Bath,1 Bed,0,1.1
"732 Del Norte Dr, Goleta, CA 93117, United States",1 Bath,1 Bed,876,3.4
